Model Run,FPS,AVG_FPS,FPS,AVG_FPS
208,110.3,111.4,94.4,0
209,110.6,111.4,92.5,0
210,111.6,111.4,93.7,0
211,112.7,111.4,94.8,0
212,113.3,111.4,95.8,0
213,113.4,111.4,96.9,0
214,113.1,111.4,97.2,0
215,112.7,111.4,94,0
216,112.2,111.4,94.6,0
217,112,111.4,94.8,0
218,110.8,111.4,96.7,0
219,110.6,111.4,96.6,0
220,110.6,111.4,94.3,0
221,110.4,111.4,92.9,0
222,110.4,111.4,93.5,0
223,110.4,111.4,93.6,0
224,110.3,111.4,94.8,0
225,111.4,111.4,95.7,0
226,112.3,111.4,97.2,0
227,113,111.4,95.4,0
228,113.6,111.4,97.1,0
229,113.3,111.4,98.1,0
230,112.1,111.4,99.2,0
231,113,111.4,100.3,0
232,112.9,111.4,99.4,0
233,112.8,111.4,96.4,0
234,112.9,111.4,96.6,0
235,112.8,111.4,98.1,0
236,112.9,111.4,100.1,0
237,112.9,111.4,100.9,0
238,113,111.4,102.1,0
239,113.1,111.4,100,0
240,112.8,111.4,101.8,0
241,112.6,111.4,103,0
242,111.3,111.4,103.7,0
243,111.2,111.4,104.6,0
244,111.9,111.4,103.3,0
245,111.1,111.4,101.6,0
246,111.8,111.4,103,0
247,111.5,111.4,104,0
248,112,111.4,105,0
249,111.7,111.4,106.6,0
250,111.6,111.4,106.2,0
251,111.6,111.4,104.4,0
252,111.9,111.4,105.4,0
253,112.5,111.4,106.3,0
254,111,111.4,107.3,0
255,111.8,111.4,107.6,0
256,111.8,111.4,105,0
257,111.8,111.4,102.2,0
258,111.8,111.4,102.8,0
259,111.7,111.4,102.5,0
260,112.4,111.4,102.7,0
261,113.1,111.4,103.1,0
262,112.6,111.4,103.1,0
263,113.2,111.4,100.6,0
264,113,111.4,99.9,0
265,112.9,111.4,100,0
266,111.6,111.4,101.5,0
267,112,111.4,101.6,0
268,111.8,111.4,99.5,0
269,111.9,111.4,96.5,0
270,112,111.4,96.4,0
271,112,111.4,96.5,0
272,112.1,111.4,96.6,0
273,111.7,111.4,97.1,0
274,111.1,111.4,98.1,0
275,111.1,111.4,96.6,0
276,111.1,111.4,97.5,0
277,111,111.4,98.3,0
278,110.2,111.4,100.1,0
279,111,111.4,100.2,0
280,111.1,111.4,98.8,0
281,111.1,111.4,95.9,0
282,111.3,111.4,95.8,0
283,111.1,111.4,97.4,0
284,111.2,111.4,98.4,0
285,111.6,111.4,99.1,0
286,111.7,111.4,99.5,0
287,111.9,111.4,97.7,0
288,111.7,111.4,99,0
289,112.5,111.4,99.7,0
290,111.5,111.4,100.7,0
291,112.2,111.4,101.3,0
292,112.9,111.4,99.2,0
293,111.5,111.4,97,0
294,111.1,111.4,97.9,0
295,110.8,111.4,98.7,0
296,111,111.4,99.7,0
297,111,111.4,100.3,0
298,111.9,111.4,99.9,0
299,112.6,111.4,98,0
300,113.4,111.4,99,99.7
301,112.8,111.4,100,99.7
302,111.5,111.4,101.3,99.7
303,111.7,111.4,101.2,99.7
304,112.1,111.4,99.3,99.7
305,112.5,111.4,97.4,99.7
306,112.4,111.4,98.3,99.7
307,112.4,111.4,98.8,99.7
308,112.9,111.4,99.7,99.7
309,111.6,111.4,99.7,99.7
310,112.2,111.4,100.1,99.7
311,113,111.4,97.9,99.7
312,112.6,111.4,98.9,99.7
313,112.3,111.4,99.5,99.7
314,111.1,111.4,100.3,99.7
315,112,111.4,101,99.7
316,111.6,111.4,99.2,99.7
317,112.4,111.4,97.3,99.7
318,112.1,111.4,98.4,99.7
319,112.1,111.4,99.4,99.7
320,112.6,111.4,100.5,99.7
321,112.4,111.4,100.9,99.7
322,112.9,111.4,102,99.7
323,113.4,111.4,100,99.7
324,113.5,111.4,100.5,99.7
325,112.9,111.4,100.5,99.7
326,111.7,111.4,102.2,99.7
327,112.3,111.4,103.5,99.7
328,113.1,111.4,101,99.7
329,110.7,111.4,99.5,99.7
330,110.9,111.4,99.1,99.7
331,110.9,111.4,100.1,99.7
332,111,111.4,101.1,99.7
333,110.7,111.4,102.3,99.7
334,110.9,111.4,103.5,99.7
335,111.3,111.4,100.4,99.7
336,112.3,111.4,101.5,99.7
337,113.2,111.4,102.6,99.7
338,112.2,111.4,103.9,99.7
339,113.1,111.4,104.6,99.7
340,113.7,111.4,102.9,99.7
341,110.9,111.4,100.9,99.7
342,111.8,111.4,102.4,99.7
343,112.2,111.4,102.9,99.7
344,112.3,111.4,103.6,99.7
345,112.2,111.4,104.8,99.7
346,112.7,111.4,104.7,99.7
347,113.1,111.4,102.9,99.7
348,112.5,111.4,103.9,99.7
349,111.8,111.4,104,99.7
350,110.8,111.4,105.8,99.7
351,110.4,111.4,105.8,99.7
